name,year,month,income,gender,random_number
"Monica",2008,2,83751.117,0,.0058315
"Avi",2006,8,57434.283,1,.0080152
"Jack",2010,5,186035.44,2,.0094859
"Monica",2007,11,76644.136,0,.0112596
"Avi",2008,6,88792.235,1,.0117501
"Monica",2006,9,50670.803,0,.0126033
"Avi",2007,3,65973.938,1,.0132773
"Jack",2006,9,50670.803,2,.0136572
"Avi",2011,4,341358.44,1,.0164424
"Monica",2006,12,55369.355,0,.0295042
"Jack",2007,8,70140.242,2,.0298093
"Jack",2011,1,235664.12,2,.0368463
"Monica",2010,2,170248.78,0,.04204
"Jack",2008,10,106093.41,2,.0422711
"Monica",2009,11,155801.75,0,.0695674
"Monica",2006,6,46370.963,0,.0706761
"Avi",2007,1,63412.09,1,.0711336
"Jack",2006,7,47762.092,2,.087393
"Jack",2008,5,91517.107,2,.0936507
"Avi",2009,2,104034.25,1,.0940201
"Avi",2008,9,94227.03,1,.0946393
"Monica",2008,1,81311.764,0,.0952399
"Jack",2009,9,146858.09,2,.1032549
"Jack",2007,12,78943.46,2,.1126883
"Avi",2009,3,106114.94,1,.1178044
"Avi",2010,10,303116.53,1,.1236982
"Monica",2009,3,122991.34,0,.1251583
"Avi",2010,12,315362.44,1,.1287875
"Monica",2010,8,203285.94,0,.1299656
"Monica",2007,6,66113.905,0,.1310487
"Avi",2006,5,54121.608,1,.1384711
"Avi",2011,6,355149.32,1,.1428218
"Jack",2007,2,58741.349,2,.1449639
"Jack",2008,6,94262.62,2,.1516774
"Avi",2007,5,68639.285,1,.1558848
"Jack",2008,8,100003.21,2,.1597673
"Jack",2006,12,55369.355,2,.1643558
"Avi",2010,4,269158.8,1,.1695611
"Avi",2009,4,108237.24,1,.1742377
"Jack",2009,2,119409.07,2,.1780331
"Monica",2006,3,42436,0,.1789783
"Jack",2009,4,126681.08,2,.1839622
"Avi",2007,8,72840.559,1,.1848374
"Monica",2009,8,142580.67,0,.1894055
"Jack",2006,6,46370.963,2,.1898714
"Jack",2007,9,72244.449,2,.1917194
"Avi",2006,4,53060.4,1,.1946347
"Monica",2008,8,100003.21,0,.2125334
"Jack",2010,8,203285.94,2,.2130598
"Avi",2008,2,82030.3,1,.2153112
"Jack",2009,7,138427.84,2,.2266843
"Monica",2007,5,64188.258,0,.2349437
"Jack",2006,1,40000,2,.2427886
"Jack",2009,6,134395.96,2,.2471488
"Jack",2010,10,215666.06,2,.2499423
"Avi",2011,9,376887.3,1,.2612471
"Monica",2011,6,273199.31,0,.2619025
"Avi",2007,7,71412.312,1,.2636056
"Monica",2011,12,326214.26,0,.2687782
"Monica",2008,9,103003.31,0,.2690954
"Monica",2007,3,60503.589,0,.2723826
"Jack",2009,8,142580.67,2,.2821366
"Jack",2008,9,103003.31,2,.2874746
"Jack",2010,2,170248.78,2,.2884076
"Jack",2009,1,115931.13,2,.2891027
"Avi",2009,6,220803.97,1,.2950279
"Monica",2006,10,52190.927,0,.29505
"Monica",2011,9,298532.26,0,.2967464
"Monica",2010,12,228800.12,0,.2977715
"Jack",2009,10,151263.83,2,.305501
"Jack",2006,5,45020.352,2,.3057415
"Avi",2009,8,229724.45,1,.3082087
"Monica",2006,1,40000,0,.3127614
"Jack",2010,4,180616.93,2,.3147754
"Avi",2011,7,362252.31,1,.3185602
"Monica",2008,5,91517.107,0,.32238
"Jack",2009,3,122991.34,2,.3272213
"Monica",2009,13,160475.8,0,.332823
"Monica",2007,1,57030.435,0,.3453723
"Avi",2006,10,59754.628,1,.3505325
"Monica",2010,10,215666.06,0,.3527313
"Monica",2010,7,197364.99,0,.35747
"Monica",2010,4,180616.93,0,.3614707
"Jack",2006,3,42436,2,.3741229
"Jack",2006,10,,2,.3835979
"Monica",2008,7,97090.499,0,.3857254
"Jack",2007,3,60503.589,2,.3915086
"Avi",2008,12,99994.478,1,.3935003
"Avi",2007,4,67293.417,1,.3980755
"Monica",2006,2,41200,0,.3983554
"Avi",2006,11,60949.721,1,.3987518
"Jack",2011,2,242734.05,2,.4002559
"Jack",2011,10,307488.23,2,.4057992
"Monica",2007,9,72244.449,0,.4154845
"Monica",2006,4,43709.08,0,.4163856
"Jack",2010,7,197364.99,2,.417886
"Avi",2009,1,101994.37,1,.4201626
"Monica",2011,8,-289837.15,0,.4209892
"Avi",2011,8,369497.36,1,.426977
"Jack",2010,12,228800.12,2,.4299811
"Jack",2007,5,64188.258,2,.430627
"Monica",2010,6,191616.5,0,.4390155
"Jack",2008,4,88851.56,2,.4603922
"Monica",2010,1,165290.08,0,.4617535
"Monica",2007,7,68097.322,0,.4655527
"Jack",2008,12,112554.5,2,.48293
"Avi",2011,5,348185.61,1,.4838773
"Avi",2009,11,243785.42,1,.4967188
"Jack",2010,9,209384.52,2,.4971641
"Monica",2011,10,307488.23,0,.4984422
"Avi",2006,1,50000,1,.4984885
"Monica",2011,7,281395.29,0,.5041912
"Monica",2006,11,53756.655,0,.5065459
"Jack",2007,4,62318.697,2,.5115759
"Jack",2009,11,155801.75,2,.5149781
"Avi",2011,3,334665.14,1,.5375492
"Monica",2006,7,47762.092,0,.5389705
"Avi",2010,5,274541.98,0,.5400197
"Monica",2008,10,106093.41,0,.5431316
"Monica",2010,3,175356.24,0,.5439191
"Avi",2008,1,80421.862,1,.5473295
"Jack",2008,3,86263.651,2,.5476311
"Jack",2011,4,257516.55,2,.5510069
"Avi",2006,12,62168.715,1,.5543922
"Monica",2007,4,62318.697,0,.5578874
"Jack",2011,11,316712.88,2,.5641518
"Monica",2011,1,235664.12,0,.5641904
"Jack",2011,5,265242.05,2,.5649149
"Monica",2011,3,250016.07,0,.5679496
"Jack",2006,8,49194.955,2,.5681936
"Jack",2010,6,191616.5,2,.5691319
"Avi",2011,2,328103.08,1,.5735025
"Avi",2006,9,58582.969,1,.5747163
"Avi",2008,5,87051.21,1,.5766126
"Monica",2009,4,126681.08,0,.5777448
"Jack",2010,11,222136.04,2,.5802806
"Jack",2007,7,68097.322,2,.5819507
"Monica",2006,8,49194.955,0,.5826455
"Monica",2010,11,222136.04,0,.5866436
"Avi",2006,3,52020,1,.5874913
"Monica",2010,5,186035.44,0,.5929704
"Jack",2011,6,273199.31,2,.6030651
"Monica",2009,2,119409.07,0,.6043812
"Jack",2006,11,53756.655,2,.6051459
"Jack",2006,2,41200,2,.6156859
"Avi",2010,7,285633.47,1,.6217678
"Monica",2011,11,316712.88,0,.6226538
"Monica",2008,6,94262.62,0,.6336645
"Avi",2008,7,90568.079,1,.6416786
"Avi",2011,11,392113.55,1,.6433012
"Jack",2007,6,66113.905,2,.6444519
"Avi",2010,3,263881.18,1,.644471
"Avi",2007,11,77298.984,1,.6465306
"Jack",2009,12,160475.8,2,.6550753
"Monica",2007,12,78943.46,0,.6609445
"Monica",2008,4,88851.56,0,.6634253
"Jack",2011,7,281395.29,2,.6668478
"Avi",2007,10,75783.317,1,.6736267
"Jack",2008,11,109276.21,2,.6816234
"Monica",2009,9,146858.09,0,.684577
"Avi",2011,10,384425.05,1,.6845878
"Avi",2007,6,70012.071,1,.6859408
"Avi",2010,11,309178.86,1,.6910079
"Monica",2008,12,112554.5,0,.7231221
"Avi",2006,2,51000,1,.7263365
"Jack",2007,1,57030.435,2,.7406471
"Monica",2009,5,130481.51,0,.7428933
"Jack",2011,12,326000,2,.7539103
"Jack",2010,3,175356.24,2,.7589298
"Avi",2006,6,55204.04,1,.7639171
"Monica",2007,10,74411.783,0,.7710636
"Avi",2008,11,98033.802,1,.7744859
"Jack",2007,10,74411.783,2,.7796995
"Monica",2007,8,70140.242,0,.7874249
"Jack",2008,7,97090.499,2,.7946005
"Jack",2009,5,130481.51,2,.8096613
"Monica",2011,2,242734.05,0,.826198
"Avi",2006,7,56308.121,1,.8372642
"Monica",2009,6,134395.96,0,.8448734
"Avi",2008,3,83670.906,1,.8485084
"Avi",2009,5,216474.48,1,.8517007
"Jack",2010,1,165290.08,2,.852438
"Avi",2008,4,85344.324,1,.8668565
"Avi",2009,10,239005.31,1,.8684891
"Avi",2007,9,74297.37,1,.869921
"Jack",2011,9,298532.26,2,.8702443
"Monica",2010,9,209384.52,0,.8736645
"Jack",2006,4,43709.08,2,.8764917
"Avi",2008,8,92379.441,1,.8835961
"Jack",2011,3,250016.07,2,.9085425
"Monica",2008,3,86263.651,0,.9105668
"Monica",2007,2,58741.349,0,.9111469
"Avi",2011,1,321669.69,1,.911624
"Avi",2009,12,248661.13,1,.9148782
" Avi",2009,7,225220.05,1,.9217044
"Monica",2009,1,115931.13,0,.9242883
"Jack",2007,11,76644.136,2,.9330948
"Avi",2009,9,234318.94,1,.9394156
"Avi",2010,9,297173.07,1,.940044
"Avi",2007,12,78844.963,1,.9409972
"Monica",2006,5,45020.352,0,.94429
"Jack",2008,2,83751.117,2,.9474435
"Avi",2010,2,258707.04,1,.950124
"monica",2008,11,109276.21,0,.9520064
"Monica",2009,7,138427.84,0,.9547333
"Avi",2010,7,291346.14,1,.9561746
"Monica",2011,4,257516.55,0,.9651843
"Avi",2010,1,253634.35,1,.9662843
"Monica",2009,10,151263.83,0,.9724476
"Avi",2007,2,64680.332,1,.974662
"Jack",2011,8,289837.15,2,.9763727
"Avi",2008,10,96111.57,1,.9807891
"Monica",2011,5,265242.05,0,.9903835
"Avi",2010,6,280032.82,1,.9928374
"Jack",2008,1,81311.764,2,.9940518
"Avi",2011,12,399955.82,1,.995038
